signup_month,cohort_age_months,source,campaign,total,active,churned,active_rate_pct,est_ltv_profit
2026-03,0,meta,ASC,13,13,0,100.0,0.0
2026-03,0,unknown,unknown,7,7,0,100.0,0.0
2026-03,0,google,(organic),5,5,0,100.0,0.0
2026-03,0,kepco.jp,(referral),4,3,1,75.0,0.0
2026-02,1,meta,ASC,18,15,3,83.3,947.0
2026-02,1,google,(organic),8,7,1,87.5,994.0
2026-02,1,kinami-bread.com,(referral),6,6,0,100.0,1136.0
2026-02,1,kepco.jp,(referral),4,4,0,100.0,1136.0
2026-02,1,(direct),(direct),4,4,0,100.0,1136.0
2026-02,1,unknown,unknown,4,4,0,100.0,1136.0
2026-02,1,alliance-coupon,persona_LINE,3,3,0,100.0,1136.0
2026-01,2,meta,ASC,14,13,1,92.9,2110.0
2026-01,2,google,(organic),11,11,0,100.0,2272.0
2026-01,2,unknown,unknown,10,9,1,90.0,2045.0
2026-01,2,kinami-bread.com,(referral),6,5,1,83.3,1893.0
2026-01,2,(direct),(direct),6,5,1,83.3,1893.0
2026-01,2,kepco.jp,(referral),4,4,0,100.0,2272.0
2026-01,2,alliance-coupon,ucs_202307,3,3,0,100.0,2272.0
2025-12,3,meta,ASC,15,12,3,80.0,2726.0
2025-12,3,google,(organic),10,7,3,70.0,2386.0
2025-12,3,unknown,unknown,10,8,2,80.0,2726.0
2025-12,3,kinami-bread.com,(referral),8,6,2,75.0,2556.0
2025-12,3,kepco.jp,(referral),5,4,1,80.0,2726.0
2025-11,4,kinami-bread.com,(referral),14,14,0,100.0,4544.0
2025-11,4,unknown,unknown,13,12,1,92.3,4194.0
2025-11,4,meta,ASC,10,8,2,80.0,3635.0
2025-11,4,google,(organic),5,5,0,100.0,4544.0
2025-11,4,alliance-coupon,persona_LINE,5,4,1,80.0,3635.0
2025-11,4,kepco.jp,(referral),4,3,1,75.0,3408.0
2025-11,4,yahoo,(organic),4,3,1,75.0,3408.0
2025-10,5,meta,ASC,13,9,4,69.2,3932.0
2025-10,5,kepco.jp,(referral),11,5,6,45.5,2582.0
2025-10,5,unknown,unknown,8,7,1,87.5,4970.0
2025-10,5,google,(organic),6,4,2,66.7,3787.0
2025-10,5,alliance-coupon,ponta_2404,5,4,1,80.0,4544.0
2025-10,5,kinami-bread.com,(referral),3,2,1,66.7,3787.0
2025-10,5,(direct),(direct),3,3,0,100.0,5680.0
2025-09,6,kepco.jp,(referral),15,10,5,66.7,4544.0
2025-09,6,meta,ASC,12,9,3,75.0,5112.0
2025-09,6,google,(organic),9,7,2,77.8,5301.0
2025-09,6,alliance-coupon,persona_LINE,4,3,1,75.0,5112.0
2025-09,6,unknown,unknown,4,3,1,75.0,5112.0
2025-09,6,(direct),(direct),4,4,0,100.0,6816.0
2025-09,6,yahoo,(organic),3,2,1,66.7,4544.0
2025-08,7,meta,ASC,15,13,2,86.7,6892.0
2025-08,7,unknown,unknown,10,8,2,80.0,6362.0
2025-08,7,google,(organic),8,5,3,62.5,4970.0
2025-08,7,kinami-bread.com,(referral),7,3,4,42.9,3408.0
2025-08,7,(direct),(direct),5,4,1,80.0,6362.0
2025-08,7,yahoo,(organic),5,5,0,100.0,7952.0
2025-08,7,bing,(organic),4,3,1,75.0,5964.0
2025-07,8,google,(organic),10,5,5,50.0,4544.0
2025-07,8,unknown,unknown,8,7,1,87.5,7952.0
2025-07,8,meta,ASC,7,5,2,71.4,6491.0
2025-07,8,(direct),(direct),4,3,1,75.0,6816.0
2025-07,8,kepco.jp,(referral),3,1,2,33.3,3029.0
2025-06,9,kepco.jp,(referral),22,13,9,59.1,6041.0
2025-06,9,unknown,unknown,13,9,4,69.2,7078.0
2025-06,9,meta,ASC,10,5,5,50.0,5112.0
2025-06,9,(direct),(direct),8,5,3,62.5,6390.0
2025-06,9,google,(organic),6,5,1,83.3,8520.0
2025-06,9,panforyou.jp,(referral),3,3,0,100.0,10224.0
2025-05,10,unknown,unknown,18,14,4,77.8,8836.0
2025-05,10,meta,ASC,11,7,4,63.6,7229.0
2025-05,10,google,(organic),8,4,4,50.0,5680.0
2025-05,10,ads,newspaper_5d_2024,6,5,1,83.3,9467.0
2025-05,10,kinami-bread.com,(referral),6,5,1,83.3,9467.0
2025-05,10,(direct),(direct),4,3,1,75.0,8520.0
2025-05,10,panforyou.jp,(referral),4,2,2,50.0,5680.0
2025-05,10,alliance-coupon,persona_LINE,4,3,1,75.0,8520.0
2025-05,10,alliance-coupon,kanden_202312,3,3,0,100.0,11360.0
2025-05,10,yahoo,(organic),3,2,1,66.7,7573.0
2025-05,10,alliance-coupon,aeoncard_202310,3,0,3,0.0,0.0
2025-04,11,google,(organic),35,27,8,77.1,9640.0
2025-04,11,unknown,unknown,29,24,5,82.8,10342.0
2025-04,11,meta,ASC,9,5,4,55.6,6942.0
2025-04,11,alliance-coupon,persona_LINE,8,5,3,62.5,7810.0
2025-04,11,(direct),(direct),8,7,1,87.5,10934.0
2025-04,11,yahoo,(organic),8,6,2,75.0,9372.0
2025-04,11,panforyou.jp,(referral),7,7,0,100.0,12496.0
2025-04,11,kinami-bread.com,(referral),5,5,0,100.0,12496.0
2025-04,11,smartnews.com,(referral),4,4,0,100.0,12496.0
2025-04,11,alliance-coupon,kanden_202312,4,1,3,25.0,3124.0
2025-03,12,meta,ASC,20,17,3,85.0,11587.0
2025-03,12,google,(organic),20,15,5,75.0,10224.0
2025-03,12,unknown,unknown,15,10,5,66.7,9088.0
2025-03,12,ads,newspaper_5d_2024,14,9,5,64.3,8763.0
2025-03,12,meta,INT,10,8,2,80.0,10906.0
2025-03,12,alliance-coupon,kanden_202312,7,3,4,42.9,5842.0
2025-03,12,(direct),(direct),6,6,0,100.0,13632.0
2025-03,12,kinami-bread.com,(referral),5,4,1,80.0,10906.0
2025-03,12,alliancecoupon,jqcard_2503,4,3,1,75.0,10224.0
2025-03,12,alliance-coupon,bluerosecard25,3,2,1,66.7,9088.0
2025-03,12,yahoo,(organic),3,3,0,100.0,13632.0
2025-03,12,panforyou.jp,(referral),3,3,0,100.0,13632.0
2025-02,13,unknown,unknown,80,53,27,66.3,9784.0
2025-01,14,unknown,unknown,148,98,50,66.2,10531.0
2024-12,15,unknown,unknown,208,144,64,69.2,11797.0
2024-11,16,unknown,unknown,88,64,24,72.7,13219.0
2024-10,17,unknown,unknown,203,135,68,66.5,12843.0
2024-09,18,unknown,unknown,208,126,80,60.6,12387.0
2024-08,19,unknown,unknown,326,202,98,62.0,13374.0
2024-07,20,unknown,unknown,438,253,143,57.8,13124.0
2024-06,21,unknown,unknown,289,137,107,47.4,11309.0
2024-05,22,unknown,unknown,305,140,121,45.9,11472.0
2024-04,23,unknown,unknown,367,167,133,45.5,11889.0
