signup_month,source,plan,total,churned,churn_rate_pct,top_leave_reason
2026-03,meta,oneMonth,14,0,0.0,未記入
2026-03,unknown,oneMonth,7,0,0.0,未記入
2026-03,google,oneMonth,5,0,0.0,未記入
2026-03,alliance-coupon,oneMonth,4,0,0.0,未記入
2026-03,kepco.jp,oneMonth,4,1,25.0,未記入
2026-02,meta,oneMonth,16,3,18.8,未記入
2026-02,alliance-coupon,oneMonth,11,3,27.3,未記入
2026-02,google,oneMonth,8,1,12.5,未記入
2026-02,kinami-bread.com,oneMonth,6,0,0.0,未記入
2026-02,kepco.jp,oneMonth,4,0,0.0,未記入
2026-02,unknown,oneMonth,4,0,0.0,未記入
2026-02,(direct),oneMonth,3,0,0.0,未記入
2026-01,meta,oneMonth,15,1,6.7,未記入
2026-01,google,oneMonth,11,0,0.0,未記入
2026-01,unknown,oneMonth,10,1,10.0,未記入
2026-01,alliance-coupon,oneMonth,8,0,0.0,未記入
2026-01,kinami-bread.com,oneMonth,6,1,16.7,未記入
2026-01,(direct),oneMonth,6,1,16.7,未記入
2026-01,kepco.jp,oneMonth,4,0,0.0,未記入
2025-12,meta,oneMonth,13,3,23.1,未記入
2025-12,google,oneMonth,10,3,30.0,未記入
2025-12,unknown,oneMonth,10,2,20.0,未記入
2025-12,kinami-bread.com,oneMonth,8,2,25.0,未記入
2025-12,kepco.jp,oneMonth,5,1,20.0,未記入
2025-12,alliance-coupon,oneMonth,4,0,0.0,未記入
2025-12,meta,twoMonths,3,0,0.0,未記入
2025-11,kinami-bread.com,oneMonth,14,0,0.0,未記入
2025-11,unknown,oneMonth,13,1,7.7,未記入
2025-11,alliance-coupon,oneMonth,11,3,27.3,未記入
2025-11,meta,oneMonth,8,2,25.0,未記入
2025-11,google,oneMonth,5,0,0.0,未記入
2025-11,yahoo,oneMonth,4,1,25.0,未記入
2025-11,kepco.jp,oneMonth,4,1,25.0,未記入
2025-10,kepco.jp,oneMonth,11,6,54.5,
2025-10,meta,oneMonth,10,4,40.0,未記入
2025-10,unknown,oneMonth,8,2,25.0,未記入
2025-10,alliance-coupon,oneMonth,6,1,16.7,未記入
2025-10,google,oneMonth,5,2,40.0,未記入
2025-10,meta,twoMonths,3,0,0.0,未記入
2025-10,kinami-bread.com,oneMonth,3,1,33.3,未記入
2025-09,kepco.jp,oneMonth,13,4,30.8,未記入
2025-09,meta,oneMonth,13,4,30.8,未記入
2025-09,alliance-coupon,oneMonth,6,1,16.7,未記入
2025-09,google,oneMonth,6,2,33.3,未記入
2025-09,(direct),oneMonth,3,0,0.0,未記入
2025-09,yahoo,oneMonth,3,1,33.3,未記入
2025-08,meta,oneMonth,14,2,14.3,未記入
2025-08,unknown,oneMonth,9,2,22.2,未記入
2025-08,kinami-bread.com,oneMonth,7,4,57.1,
2025-08,alliance-coupon,oneMonth,6,3,50.0,未記入
2025-08,google,oneMonth,5,3,60.0,
2025-08,yahoo,oneMonth,5,0,0.0,未記入
2025-08,bing,oneMonth,4,1,25.0,未記入
2025-08,(direct),oneMonth,4,1,25.0,未記入
2025-07,unknown,oneMonth,8,1,12.5,未記入
2025-07,google,oneMonth,7,2,28.6,未記入
2025-07,meta,oneMonth,6,2,33.3,未記入
2025-07,alliance-coupon,oneMonth,5,2,40.0,未記入
2025-07,(direct),oneMonth,4,1,25.0,未記入
2025-07,kepco.jp,oneMonth,3,2,66.7,
2025-06,kepco.jp,oneMonth,19,9,47.4,未記入
2025-06,unknown,oneMonth,10,4,40.0,未記入
2025-06,meta,oneMonth,9,5,55.6,
2025-06,(direct),oneMonth,7,3,42.9,未記入
2025-06,google,oneMonth,6,1,16.7,未記入
2025-06,alliance-coupon,oneMonth,4,1,25.0,未記入
2025-06,kepco.jp,twoMonths,3,0,0.0,未記入
2025-06,unknown,twoMonths,3,0,0.0,未記入
2025-05,alliance-coupon,oneMonth,17,7,41.2,未記入
2025-05,unknown,oneMonth,15,4,26.7,未記入
2025-05,meta,oneMonth,11,4,36.4,未記入
2025-05,google,oneMonth,6,4,66.7,
2025-05,ads,oneMonth,6,1,16.7,未記入
2025-05,kinami-bread.com,oneMonth,6,1,16.7,未記入
2025-05,yahoo,oneMonth,3,1,33.3,未記入
2025-05,(direct),oneMonth,3,1,33.3,未記入
2025-05,panforyou.jp,oneMonth,3,2,66.7,
2025-05,unknown,twoMonths,3,0,0.0,未記入
2025-04,google,oneMonth,29,6,20.7,未記入
2025-04,unknown,oneMonth,26,4,15.4,未記入
2025-04,alliance-coupon,oneMonth,16,7,43.8,未記入
2025-04,yahoo,oneMonth,8,2,25.0,未記入
2025-04,(direct),oneMonth,8,1,12.5,未記入
2025-04,meta,oneMonth,7,3,42.9,未記入
2025-04,panforyou.jp,oneMonth,6,0,0.0,未記入
2025-04,kinami-bread.com,oneMonth,5,0,0.0,未記入
2025-04,smartnews.com,oneMonth,4,0,0.0,未記入
2025-04,alliance-coupon,twoMonths,4,1,25.0,未記入
2025-04,google,twoMonths,4,1,25.0,未記入
2025-04,meta,twoMonths,3,1,33.3,未記入
2025-03,meta,oneMonth,27,5,18.5,未記入
2025-03,google,oneMonth,20,5,25.0,未記入
2025-03,ads,oneMonth,14,5,35.7,未記入
2025-03,unknown,oneMonth,13,4,30.8,未記入
2025-03,alliance-coupon,oneMonth,11,5,45.5,未記入
2025-03,(direct),oneMonth,6,0,0.0,未記入
2025-03,kinami-bread.com,oneMonth,5,1,20.0,未記入
2025-03,alliancecoupon,oneMonth,4,1,25.0,未記入
2025-03,panforyou.jp,oneMonth,3,0,0.0,未記入
2025-03,yahoo,oneMonth,3,0,0.0,未記入
2025-03,meta,twoMonths,3,0,0.0,未記入
2025-02,unknown,oneMonth,72,23,31.9,未記入
2025-02,unknown,twoMonths,6,3,50.0,未記入
2025-01,unknown,oneMonth,135,45,33.3,未記入
2025-01,unknown,twoMonths,12,5,41.7,未記入
2024-12,unknown,oneMonth,188,56,29.8,未記入
2024-12,unknown,twoMonths,20,8,40.0,未記入
2024-11,unknown,oneMonth,80,23,28.7,未記入
2024-11,unknown,twoMonths,8,1,12.5,未記入
2024-10,unknown,oneMonth,190,63,33.2,未記入
2024-10,unknown,twoMonths,13,5,38.5,未記入
2024-09,unknown,oneMonth,189,77,40.7,未記入
2024-09,unknown,twoMonths,16,3,18.8,未記入
2024-08,unknown,oneMonth,151,57,37.7,未記入
2024-08,unknown,,109,16,14.7,未記入
2024-08,unknown,twoMonths,63,24,38.1,未記入
2024-08,unknown,twoWeeks,3,1,33.3,未記入
2024-07,unknown,,171,44,25.7,未記入
2024-07,unknown,oneMonth,160,73,45.6,未記入
2024-07,unknown,twoMonths,101,26,25.7,未記入
2024-07,unknown,twoWeeks,6,0,0.0,未記入
2024-06,unknown,oneMonth,157,70,44.6,未記入
2024-06,unknown,twoMonths,86,28,32.6,未記入
2024-06,unknown,,39,8,20.5,未記入
2024-06,unknown,twoWeeks,7,1,14.3,未記入
2024-05,unknown,oneMonth,144,68,47.2,未記入
2024-05,unknown,,83,23,27.7,未記入
2024-05,unknown,twoMonths,73,30,41.1,未記入
2024-05,unknown,twoWeeks,5,0,0.0,未記入
2024-04,unknown,oneMonth,178,76,42.7,未記入
2024-04,unknown,twoMonths,126,40,31.7,未記入
2024-04,unknown,,58,15,25.9,未記入
2024-04,unknown,twoWeeks,5,2,40.0,未記入
2024-03,unknown,oneMonth,232,108,46.6,未記入
2024-03,unknown,twoMonths,145,53,36.6,未記入
2024-03,unknown,,9,0,0.0,未記入
2024-03,unknown,twoWeeks,9,6,66.7,未記入
2024-02,unknown,oneMonth,145,68,46.9,未記入
2024-02,unknown,twoMonths,98,38,38.8,未記入
2024-02,unknown,,11,2,18.2,未記入
2024-02,unknown,twoWeeks,5,1,20.0,未記入
2024-01,unknown,twoMonths,4816,4281,88.9,未記入
2024-01,unknown,oneMonth,560,364,65.0,未記入
2024-01,unknown,twoWeeks,31,20,64.5,未記入
2024-01,unknown,,28,4,14.3,未記入
2023-12,unknown,oneMonth,258,103,39.9,未記入
2023-12,unknown,twoMonths,171,52,30.4,未記入
2023-12,unknown,,37,4,10.8,未記入
2023-12,unknown,twoWeeks,10,2,20.0,未記入
2023-11,unknown,oneMonth,338,153,45.3,未記入
2023-11,unknown,twoMonths,233,80,34.3,未記入
2023-11,unknown,,66,3,4.5,未記入
2023-11,unknown,twoWeeks,14,5,35.7,未記入
2023-10,unknown,oneMonth,344,161,46.8,未記入
2023-10,unknown,twoMonths,216,94,43.5,未記入
2023-10,unknown,twoWeeks,22,4,18.2,未記入
2023-10,unknown,,19,5,26.3,未記入
2023-09,unknown,oneMonth,404,175,43.3,未記入
2023-09,unknown,twoMonths,217,86,39.6,未記入
2023-09,unknown,,26,5,19.2,未記入
2023-09,unknown,twoWeeks,24,13,54.2,未記入
2023-08,unknown,oneMonth,400,183,45.8,未記入
2023-08,unknown,twoMonths,207,83,40.1,未記入
2023-08,unknown,,24,5,20.8,未記入
2023-08,unknown,twoWeeks,14,7,50.0,未記入
2023-07,unknown,oneMonth,514,250,48.6,未記入
2023-07,unknown,twoMonths,269,108,40.1,未記入
2023-07,unknown,,20,1,5.0,未記入
2023-07,unknown,twoWeeks,12,2,16.7,未記入
2023-06,unknown,oneMonth,2507,1213,48.4,未記入
2023-06,unknown,twoMonths,1255,471,37.5,未記入
2023-06,unknown,twoWeeks,58,21,36.2,未記入
2023-06,unknown,,30,2,6.7,未記入
2023-05,unknown,oneMonth,558,245,43.9,未記入
2023-05,unknown,twoMonths,344,128,37.2,未記入
2023-05,unknown,twoWeeks,15,9,60.0,未記入
2023-05,unknown,,14,1,7.1,未記入
2023-04,unknown,oneMonth,357,165,46.2,未記入
2023-04,unknown,twoMonths,271,112,41.3,未記入
2023-04,unknown,,47,4,8.5,未記入
2023-04,unknown,twoWeeks,17,2,11.8,未記入
2023-03,unknown,twoMonths,1115,543,48.7,未記入
2023-03,unknown,oneMonth,683,294,43.0,未記入
2023-03,unknown,twoWeeks,16,5,31.3,未記入
2023-03,unknown,,15,1,6.7,未記入
2023-02,unknown,oneMonth,343,161,46.9,未記入
2023-02,unknown,twoMonths,305,115,37.7,未記入
2023-02,unknown,,23,1,4.3,未記入
2023-02,unknown,twoWeeks,13,3,23.1,未記入
2023-01,unknown,oneMonth,504,225,44.6,未記入
2023-01,unknown,twoMonths,435,203,46.7,未記入
2023-01,unknown,,74,2,2.7,未記入
2023-01,unknown,twoWeeks,8,3,37.5,未記入
2022-12,unknown,twoMonths,281,107,38.1,未記入
2022-12,unknown,oneMonth,252,110,43.7,未記入
2022-12,unknown,,87,2,2.3,未記入
2022-12,unknown,twoWeeks,8,2,25.0,未記入
2022-11,unknown,twoMonths,1498,754,50.3,未記入
2022-11,unknown,oneMonth,817,434,53.1,未記入
2022-11,unknown,,193,4,2.1,未記入
2022-11,unknown,twoWeeks,42,11,26.2,未記入
2022-10,unknown,twoMonths,1636,763,46.6,未記入
2022-10,unknown,oneMonth,963,480,49.8,未記入
2022-10,unknown,,351,7,2.0,未記入
2022-10,unknown,twoWeeks,40,21,52.5,未記入
2022-09,unknown,,2861,114,4.0,未記入
2022-09,unknown,twoMonths,1226,555,45.3,未記入
2022-09,unknown,oneMonth,725,286,39.4,未記入
2022-09,unknown,twoWeeks,35,12,34.3,未記入
2022-08,unknown,,2242,95,4.2,未記入
2022-08,unknown,oneMonth,426,131,30.8,未記入
2022-08,unknown,twoMonths,423,155,36.6,未記入
2022-08,unknown,twoWeeks,9,6,66.7,未記入
2022-07,unknown,twoMonths,489,152,31.1,未記入
2022-07,unknown,oneMonth,435,162,37.2,未記入
2022-07,unknown,twoWeeks,17,8,47.1,未記入
2022-06,unknown,twoMonths,699,205,29.3,未記入
2022-06,unknown,oneMonth,507,172,33.9,未記入
2022-06,unknown,twoWeeks,12,7,58.3,未記入
2022-05,unknown,twoMonths,2121,641,30.2,未記入
2022-05,unknown,oneMonth,1438,524,36.4,未記入
2022-05,unknown,twoWeeks,29,6,20.7,未記入
2022-04,unknown,twoMonths,1226,336,27.4,未記入
2022-04,unknown,oneMonth,900,324,36.0,未記入
2022-04,unknown,twoWeeks,26,6,23.1,未記入
2022-03,unknown,twoMonths,616,169,27.4,未記入
2022-03,unknown,oneMonth,408,137,33.6,未記入
2022-03,unknown,twoWeeks,14,2,14.3,未記入
2022-02,unknown,twoMonths,1148,336,29.3,未記入
