source,campaign,plan,leave_reason,cnt,avg_days_to_churn,avg_months_since_signup
unknown,unknown,twoMonths,(未記入),1676,92.0,31.3
unknown,unknown,oneMonth,,1209,590.0,30.6
unknown,unknown,oneMonth,(未記入),1174,166.0,49.2
unknown,unknown,twoMonths,,841,830.0,38.1
unknown,unknown,,,340,717.0,34.9
unknown,unknown,twoMonths,高い,133,72.0,36.1
unknown,unknown,twoMonths,値段が高い,77,80.0,35.9
unknown,unknown,oneMonth,高い,70,85.0,45.8
unknown,unknown,oneMonth,値段が高い,66,89.0,42.9
unknown,unknown,twoMonths,特になし,60,107.0,36.8
unknown,unknown,twoMonths,料金が高い,47,118.0,38.6
unknown,unknown,twoMonths,高いから,47,64.0,33.8
unknown,unknown,oneMonth,特になし,43,132.0,43.5
unknown,unknown,twoMonths,　,40,79.0,31.6
unknown,unknown,twoMonths,価格が高い,34,94.0,38.5
unknown,unknown,twoMonths,なし,33,45.0,29.6
unknown,unknown,twoMonths,値段が高いため,31,84.0,34.4
meta,ASC,oneMonth,,30,85.0,7.0
google,(organic),oneMonth,,29,83.0,8.4
unknown,unknown,twoMonths,金額が高い,28,112.0,38.9
unknown,unknown,twoWeeks,(未記入),27,204.0,43.9
unknown,unknown,twoMonths,クーポンが使えなかったため,25,8.0,26.0
kepco.jp,(referral),oneMonth,,24,48.0,6.6
unknown,unknown,oneMonth,料金が高い,21,102.0,43.9
unknown,unknown,twoMonths, ,21,27.0,32.9
unknown,unknown,,(未記入),19,752.0,36.5
unknown,unknown,twoMonths,クーポン併用不可のため,19,4.0,26.0
unknown,unknown,twoWeeks,,19,677.0,33.8
unknown,unknown,oneMonth,高いから,19,191.0,47.5
unknown,unknown,oneMonth,金額が高い,19,78.0,41.5
unknown,unknown,twoMonths,あ,19,57.0,31.6
unknown,unknown,oneMonth,値段が高いため,18,117.0,48.4
unknown,unknown,twoMonths,クーポンが使えなかったから,16,10.0,26.0
unknown,unknown,oneMonth,なし,16,128.0,42.0
unknown,unknown,twoMonths,値段が高いので,15,56.0,36.7
unknown,unknown,twoMonths,経済的理由,15,322.0,42.3
unknown,unknown,twoMonths,値段が高いから,14,57.0,41.1
unknown,unknown,twoMonths,金額が高いため,14,37.0,36.6
unknown,unknown,oneMonth,価格が高い,14,123.0,44.5
unknown,unknown,oneMonth,経済的理由,14,168.0,40.3
unknown,unknown,twoMonths,節約のため,13,302.0,44.6
unknown,unknown,twoMonths,クーポンが利用できなかったため,13,5.0,26.0
unknown,unknown,twoMonths,料金が高いため,13,189.0,36.5
unknown,unknown,twoMonths,クーポンが使えないため,12,7.0,26.0
unknown,unknown,twoMonths,、,12,37.0,28.6
unknown,unknown,oneMonth,値段が高いから,12,91.0,45.6
unknown,unknown,twoMonths,必要なくなったため,12,97.0,29.4
unknown,unknown,oneMonth,好みのパンが少ない,12,150.0,42.4
unknown,unknown,twoMonths,価格が高いため,12,46.0,31.7
unknown,unknown,twoMonths,クーポン使用不可のため,11,18.0,26.0
unknown,unknown,twoMonths,値段が高い。,10,82.0,34.1
unknown,unknown,twoMonths,食べきれない,10,181.0,39.8
unknown,unknown,twoMonths,金額,10,90.0,36.0
unknown,unknown,oneMonth,食べきれない,10,100.0,40.0
unknown,unknown,twoMonths,高いので,10,55.0,35.9
kinami-bread.com,(referral),oneMonth,,10,94.0,6.7
unknown,unknown,twoMonths,割高,10,35.0,38.7
unknown,unknown,oneMonth,　,10,39.0,48.6
unknown,unknown,twoMonths,必要なくなった,10,79.0,27.7
unknown,unknown,twoMonths,利用しないため,9,256.0,38.4
unknown,unknown,twoMonths,ありがとうございました,9,180.0,34.3
unknown,unknown,twoMonths,クーポン利用不可のため,9,2.0,26.0
unknown,unknown,twoMonths,価格,9,41.0,38.9
