source,campaign,total_users,churned_users,suspended_users,active_users,churn_rate_pct,avg_months_all
unknown,unknown,60456,23923,23351,13182,39.6,42.2
meta,ASC,168,36,0,132,21.4,5.8
google,(organic),143,34,1,108,23.8,7.7
kepco.jp,(referral),73,25,0,48,34.2,5.7
kinami-bread.com,(referral),67,11,0,56,16.4,5.7
(direct),(direct),58,9,0,49,15.5,7.0
yahoo,(organic),35,9,0,26,25.7,7.5
alliance-coupon,persona_LINE,30,7,0,23,23.3,7.0
panforyou.jp,(referral),24,3,0,21,12.5,8.9
ads,newspaper_5d_2024,21,6,0,15,28.6,11.4
meta,INT,20,3,0,17,15.0,9.2
alliance-coupon,kanden_202312,16,8,0,8,50.0,10.9
alliance-coupon,jfrcard_202306,9,3,0,6,33.3,6.1
alliance-coupon,aeoncard_202310,7,6,0,1,85.7,5.1
alliance-coupon,ruum_202304,7,3,0,4,42.9,7.6
alliance-coupon,ponta_2404,7,2,0,5,28.6,5.9
alliance-coupon,goopan500,7,1,0,6,14.3,3.7
alliance-coupon,ucs_202307,7,2,0,5,28.6,5.4
ktv.jp,(referral),6,1,0,5,16.7,4.0
alliance-coupon,viewpan1000,5,2,0,3,40.0,6.2
aumo.jp,(referral),5,2,0,3,40.0,7.2
bing,(organic),5,1,0,4,20.0,6.6
alliance-coupon,bluerosecard25,4,1,0,3,25.0,11.8
alliancecoupon,jqcard_2503,4,1,0,3,25.0,12.0
smartnews.com,(referral),4,0,0,4,0.0,11.0
alliance-coupon,persona_HP,3,0,0,3,0.0,7.3
